designation,is_welded,is_angle,h,b,tw,tf,r,d,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,IW,Sw_w,Av_y,Av_z,iy,iz,ys,ym
MC 330 x 60,0,0,330.0,106.0,14.2,15.5,,236.0,0.007601,0.0001147,0.0006948999999999,0.00087,5.76e-06,7.02e-05,0.00015,9.55e-07,1.31e-07,8.4937771875e-06,0.002915,0.005043,122.7,27.5,24.5,46.7
MC 330 x 74,0,0,330.0,112.0,20.0,15.5,,247.0,0.00948,0.0001299,0.0007874,0.001016,7.08e-06,8.1e-05,0.000175,1.51e-06,1.58e-07,9.634409400000003e-06,0.0028799999999999,0.006778,117.4,27.4,25.2,42.99999999999999
MC 460 x 63.5,0,0,457.0,100.0,11.4,15.9,,366.0,0.00813,0.0002304,0.001008,0.001263,5.35e-06,6.740000000000001e-05,0.000141,7.33e-07,2.37e-07,1.1308560855750003e-05,0.0029201999999999,0.005574,168.79999999999998,25.7,21.1,42.3
MC 460 x 68.2,0,0,457.0,102.0,12.7,15.9,,370.0,0.0087099999999999,0.0002401,0.001051,0.00133,5.76e-06,7.09e-05,0.000149,8.179999999999999e-07,2.54e-07,1.1859764208e-05,0.0029060999999999,0.006116,166.4,25.8,21.2,41.5
MC 460 x 77.2,0,0,457.0,104.0,15.2,15.9,,366.0,0.00987,0.0002609,0.001142,0.001463,6.11e-06,7.32e-05,0.000159,1.16e-06,2.76e-07,1.2514385175e-05,0.0029236,0.007258,162.89999999999998,24.9,21.0,38.3
MC 460 x 86,0,0,457.0,107.0,17.8,15.9,,375.0,0.011,0.0002785,0.001219,0.001587,6.82e-06,7.93e-05,0.000173,1.41e-06,3.03e-07,1.3310698992000004e-05,0.0028653999999999,0.008324,160.0,25.0,21.4,36.8
U 200 x 200 x 20 x 20,1,0,200.0,200.0,20.0,20.0,0.0,160.0,0.0112,7.1893330078125e-05,0.0007189329833984,0.0008479580078125,4.52876220703125e-05,0.0003602420043945,0.0006239710083007,1.48447998046875e-06,2.73246e-07,1.58030041e-05,0.008,0.004,80.11895735969121,63.58881729399698,74.29,144.25
Cornière 20 x 20 x 3,1,1,20.0,20.0,3.0,3.0,3.5,,0.0001118999958038,3.8699999451637265e-09,2.770000100135803e-07,,3.8699999451637265e-09,2.770000100135803e-07,,3.700000047683716e-10,0.0,,6e-05,6e-05,5.880854632533346,5.880854632533346,8.48528137423857,2.701147904132611
Cornière 30 x 30 x 3,1,1,30.0,30.0,3.0,3.0,2.5,,0.0001735999941825,1.4060000181198122e-08,6.389999985694886e-07,,1.4060000181198122e-08,6.389999985694886e-07,,5.999999865889551e-10,0.0,,8.999999999999999e-05,8.999999999999999e-05,8.999488161442493,8.999488161442493,11.31370849898476,2.6870057685088824
Cornière 40 x 40 x 4,1,1,40.0,40.0,4.0,4.0,3.0,,0.0003078000068664,4.4699997901916506e-08,1.5420000553131105e-06,,4.4699997901916506e-08,1.5420000553131105e-06,,1.8299999833106994e-09,0.0,,0.00016,0.00016,12.050898783239775,12.050898783239775,15.556349186104043,3.4789653634378137
Cornière 50 x 50 x 5,1,1,50.0,50.0,5.0,5.0,3.5,,0.0004802000045776,1.095400047302246e-07,3.0429999828338625e-06,,1.095400047302246e-07,3.0429999828338625e-06,,4.390000104904175e-09,1e-12,,0.00025,0.00025,15.103419937443215,15.103419937443215,19.79898987322333,4.285067093990479
Cornière 60 x 60 x 6,1,1,60.0,60.0,6.0,6.0,4.0,,0.000690799999237,2.2774999618530277e-07,5.296000003814697e-06,,2.2774999618530277e-07,5.296000003814697e-06,,9.020000100135804e-09,2e-12,,0.0003599999999999,0.0003599999999999,18.15737340824188,18.15737340824188,24.04163056034261,5.105310960166872
Cornière 80 x 80 x 8,1,1,80.0,80.0,8.0,8.0,5.0,,0.0012265000343322,7.219999694824219e-07,1.266699981689453e-05,,7.219999694824219e-07,1.266699981689453e-05,,2.815000057220459e-08,1.2e-11,,0.00064,0.00064,24.262458595181084,24.262458595181084,32.526911934581186,6.717514421272202
Cornière 100 x 100 x 10,1,1,100.0,100.0,10.0,10.0,6.0,,0.0019150999069213,1.765220031738281e-06,2.4517000198364257e-05,,1.765220031738281e-06,2.4517000198364257e-05,,6.823999881744385e-08,4.4e-11,,0.001,0.001,30.360135533856727,30.360135533856727,39.59797974644666,8.343860018001259
Cornière 120 x 120 x 12,1,1,120.0,120.0,12.0,12.0,6.5,,0.0027538000106811,3.673940124511719e-06,4.272000122070312e-05,,3.673940124511719e-06,4.272000122070312e-05,,1.393299961090088e-07,1.33e-10,,0.0014399999999999,0.0014399999999999,36.52580855150519,36.52580855150519,48.08326112068523,9.857068529740474
