designation,h,b,t,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,Av_y,Av_z
Tca 160 x 160 x 6,160.0,160.0,6.0,0.0036030000000000003,1.4054100000000002e-05,0.00017568,0.00020622999999999998,1.4054100000000002e-05,0.00017568,0.00020622999999999998,2.2389000000000002e-05,0.0018015000000000004,0.0018015000000000004
Tca 180 x 180 x 4,180.0,180.0,4.0,0.002775,1.4216900000000001e-05,0.00015796999999999998,0.00018219999999999998,1.4216900000000001e-05,0.00015796999999999998,0.00018219999999999998,2.21016e-05,0.0013875,0.0013875
Tca 180 x 180 x 5,180.0,180.0,5.0,0.0034360000000000003,1.73679e-05,0.00019297999999999999,0.00022401,1.73679e-05,0.00019297999999999999,0.00022401,2.72416e-05,0.0017180000000000001,0.0017180000000000001
Tca 180 x 180 x 6,180.0,180.0,6.0,0.004083,2.03642e-05,0.00022627,0.00026433999999999995,2.03642e-05,0.00022627,0.00026433999999999995,3.22265e-05,0.0020415,0.0020415
Tca 180 x 180 x 8,180.0,180.0,8.0,0.0052840000000000005,2.5457399999999998e-05,0.00028286,0.00033567,2.5457399999999998e-05,0.00028286,0.00033567,4.1885600000000004e-05,0.0026420000000000003,0.0026420000000000003
Tca 200 x 200 x 4,200.0,200.0,4.0,0.003095,1.96807e-05,0.00023999999999999998,0.00027499999999999996,1.96807e-05,0.00023999999999999998,0.00027499999999999996,4.076e-05,0.0015475,0.0015475
Tca 200 x 200 x 5,200.0,200.0,5.0,0.003836,2.40999e-05,0.00019680999999999998,0.00022642999999999999,2.40999e-05,0.00019680999999999998,0.00022642999999999999,3.04866e-05,0.001918,0.001918
Tca 200 x 200 x 6,200.0,200.0,6.0,0.004563,2.83262e-05,0.00024099999999999998,0.00027886,2.83262e-05,0.00024099999999999998,0.00027886,3.7633000000000004e-05,0.0022815,0.0022815
Tca 220 x 220 x 4,220.0,220.0,4.0,0.0034100000000000003,2.639e-05,0.00028325999999999997,0.00032964999999999996,2.639e-05,0.00028325999999999997,0.00032964999999999996,4.458810000000001e-05,0.0017050000000000001,0.0017050000000000001
Tca 250 x 250 x 4,250.0,250.0,4.0,0.0038900000000000002,3.9070000000000004e-05,0.00031299999999999996,0.000358,3.9070000000000004e-05,0.00031299999999999996,0.000358,6.0140000000000004e-05,0.0019450000000000001,0.0019450000000000001
Tca 260 x 260 x 4,260.0,260.0,4.0,0.00405,4.406e-05,0.000339,0.000388,4.406e-05,0.000339,0.000388,6.775000000000001e-05,0.002025,0.002025
Tca 260 x 260 x 5,260.0,260.0,5.0,0.00504,5.422e-05,0.000417,0.000479,5.422e-05,0.000417,0.000479,8.388e-05,0.00252,0.00252
Tca 300 x 300 x 5,300.0,300.0,5.0,0.00584,8.417e-05,0.000561,0.000643,8.417e-05,0.000561,0.000643,0.00012968,0.00292,0.00292
Tca 325 x 325 x 5,325.0,325.0,5.0,0.00634,0.00010757,0.0006619999999999999,0.000758,0.00010757,0.0006619999999999999,0.000758,0.0001654,0.0031700000000000005,0.0031700000000000005
Tca 325 x 325 x 6,325.0,325.0,6.0,0.00756,0.00012748,0.000784,0.000901,0.00012748,0.000784,0.000901,0.00019698,0.00378,0.00378
Tca 325 x 325 x 8,325.0,325.0,8.0,0.00992,0.00016427,0.001011,0.001171,0.00016427,0.001011,0.001171,0.00025956,0.00496,0.00496
Tca 325 x 325 x 10,325.0,325.0,10.0,0.0123,0.00019966,0.0012289999999999998,0.001433,0.00019966,0.0012289999999999998,0.001433,0.0003195,0.00615,0.00615
Tca 400 x 400 x 8,400.0,400.0,8.0,0.0123,0.00031269,0.001563,0.0018,0.00031269,0.001563,0.0018,0.00048934,0.00615,0.00615
Tre 30 x 20 x 2,30.0,20.0,2.0,0.000174,1.94e-08,1.29e-06,1.6499999999999999e-06,1.02e-08,1.02e-06,1.24e-06,2.29e-08,6.96e-05,0.00010439999999999999
Tre 35 x 20 x 2,35.0,20.0,2.0,0.000194,2.8700000000000002e-08,1.6399999999999998e-06,2.1e-06,1.18e-08,1.18e-06,1.42e-06,2.8700000000000002e-08,7.054545454545454e-05,0.00012345454545454546
