designation,is_welded,is_circular,h,b,t,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,Av_y,Av_z
Tca 325 x 325 x 5,0,0,325.0,325.0,5.0,0.00634,0.00010757,0.0006619999999999,0.000758,0.00010757,0.0006619999999999,0.000758,0.0001654,0.00317,0.00317
Tca 325 x 325 x 6,0,0,325.0,325.0,6.0,0.00756,0.00012748,0.000784,0.000901,0.00012748,0.000784,0.000901,0.00019698,0.00378,0.00378
Tca 325 x 325 x 8,0,0,325.0,325.0,8.0,0.00992,0.00016427,0.001011,0.001171,0.00016427,0.001011,0.001171,0.00025956,0.00496,0.00496
Tca 325 x 325 x 10,0,0,325.0,325.0,10.0,0.0123,0.00019966,0.0012289999999999,0.001433,0.00019966,0.0012289999999999,0.001433,0.0003195,0.00615,0.00615
Tca 400 x 400 x 8,0,0,400.0,400.0,8.0,0.0123,0.00031269,0.001563,0.0018,0.00031269,0.001563,0.0018,0.00048934,0.00615,0.00615
Tre 30 x 20 x 2,0,0,30.0,20.0,2.0,0.000174,1.94e-08,1.29e-06,1.65e-06,1.02e-08,1.02e-06,1.24e-06,2.29e-08,6.96e-05,0.0001043999999999
Tre 35 x 20 x 2,0,0,35.0,20.0,2.0,0.000194,2.87e-08,1.6399999999999998e-06,2.1e-06,1.18e-08,1.18e-06,1.42e-06,2.87e-08,7.054545454545454e-05,0.0001234545454545
Tre 40 x 20 x 2,0,0,40.0,20.0,2.0,0.000214,4.05e-08,2.02e-06,2.61e-06,1.3400000000000001e-08,1.34e-06,1.6e-06,3.5e-08,7.133333333333335e-05,0.0001426666666666
Tre 40 x 20 x 2.5,0,0,40.0,20.0,2.5,0.000259,4.69e-08,2.35e-06,3.09e-06,1.5400000000000002e-08,1.54e-06,1.88e-06,4.1e-08,8.633333333333335e-05,0.0001726666666666
Tre 40 x 27 x 2,0,0,40.0,27.0,2.0,0.000242,5.06e-08,2.5299999999999995e-06,3.15e-06,2.73e-08,2.03e-06,2.39e-06,5.91e-08,9.752238805970148e-05,0.0001444776119402
Tre 40 x 27 x 2.5,0,0,40.0,27.0,2.5,0.000294,5.93e-08,2.96e-06,3.75e-06,3.18e-08,2.36e-06,2.85e-06,7.05e-08,0.0001184776119402,0.0001755223880597
Tre 50 x 30 x 2,0,0,50.0,30.0,2.0,0.000294,9.54e-08,3.81e-06,4.74e-06,4.29e-08,2.86e-06,3.33e-06,9.8e-08,0.00011025,0.00018375
Tre 50 x 30 x 2.5,0,0,50.0,30.0,2.5,0.000359,1.13e-07,4.519999999999999e-06,5.7e-06,5.05e-08,3.37e-06,3.98e-06,1.1700000000000002e-07,0.000134625,0.000224375
Tre 50 x 30 x 3,0,0,50.0,30.0,3.0,0.000421,1.283e-07,5.13e-06,6.57e-06,5.7e-08,3.8e-06,4.58e-06,1.35e-07,0.000157875,0.000263125
Tre 60 x 30 x 2,0,0,60.0,30.0,2.0,0.000334,1.5e-07,5.019999999999999e-06,6.31e-06,5.080000000000001e-08,3.39e-06,3.89e-06,1.26e-07,0.0001113333333333,0.0002226666666666
Tre 60 x 30 x 2.5,0,0,60.0,30.0,2.5,0.000409,1.79e-07,5.98e-06,7.62e-06,6.000000000000002e-08,4e-06,4.669999999999999e-06,1.51e-07,0.0001363333333333,0.0002726666666666
Tre 60 x 30 x 3,0,0,60.0,30.0,3.0,0.000481,2.05e-07,6.83e-06,8.82e-06,6.8e-08,4.53e-06,5.389999999999999e-06,1.75e-07,0.0001603333333333,0.0003206666666666
Tre 60 x 34 x 2,0,0,60.0,34.0,2.0,0.00035,1.64e-07,5.459999999999999e-06,6.77e-06,6.769999999999999e-08,3.98e-06,4.57e-06,1.57e-07,0.0001265957446808,0.0002234042553191
Tre 60 x 34 x 2.5,0,0,60.0,34.0,2.5,0.000429,1.96e-07,6.53e-06,8.19e-06,8.03e-08,4.7300000000000005e-06,5.51e-06,1.9e-07,0.0001551702127659,0.000273829787234
Tre 60 x 40 x 2,0,0,60.0,40.0,2.0,0.000374,1.8410000000000001e-07,6.14e-06,7.47e-06,9.83e-08,4.92e-06,5.65e-06,2.07e-07,0.0001496,0.0002244
